,rotation,texture_u,texture_g,texture_r,texture_i,texture_z
10778,ccw,5.412701,1047.879,993.6181,508.5331,19.95975
10779,ccw,0.4286015,82.60002,145.7218,61.171780000000005,0.8555434000000001
10780,ccw,0.4251132,70.62501999999999,97.65684,52.19596,2.553082
10781,ccw,0.7702542,372.2842,499.9781,263.1781,14.614629999999998
10782,ccw,0.0956909,14.526810000000001,18.85373,9.83436,0.249133
10783,ccw,0.8390685999999999,17.61864,16.06587,6.822298,0.27155300000000004
10784,ccw,0.2191261,73.82365,90.14273,17.3705,0.48385550000000005
10785,ccw,1.357406,41.096470000000004,25.14901,15.44408,0.9562954
10786,ccw,0.2265448,14.609379999999998,68.06858000000001,65.87431,0.3807243
10787,ccw,0.4123847,86.56047,130.4991,69.89771,4.9586879999999995
10788,ccw,0.2064291,7.177815,29.82637,13.193710000000001,0.8029097
10789,ccw,0.08906879,12.14752,120.3028,79.85446,1.867894
10790,ccw,0.2511829,1.8120939999999999,2.405052,0.5366898,0.008049718
10791,ccw,2.3021540000000003,95.46037,220.1357,155.5961,6.211791000000001
10792,ccw,-0.005163508,3.021894,37.83525,49.30873,0.6797141
10793,ccw,1.242094,48.44807,129.4494,132.4284,3.437038
10794,ccw,1.220909,64.02462,118.1528,87.01216,5.717706
10795,ccw,0.8321521999999999,28.90767,48.12413,56.03213,3.7368010000000003
10796,ccw,0.5025765999999999,607.4279,217.5285,151.3862,10.00733
10797,ccw,4.9238550000000005,6794.389,13225.46,14919.22,1154.231
10798,ccw,48.57087,6156.411999999999,3700.073,2640.264,102.9156
10799,ccw,0.504182,272.2578,280.4622,255.1154,12.60466
10800,ccw,0.17933010000000002,40.76303,50.93865,38.10609,1.432801
10801,ccw,0.2690597,142.034,225.5243,258.6,2.067802
10802,ccw,0.07005785,34.47614,18.663420000000002,9.807746,0.003610865
10803,ccw,0.5292289000000001,544.145,1175.094,1291.969,19.29675
10804,ccw,109.2901,11924.24,10377.6,10120.74,708.8256
10805,ccw,0.07652073,8.832463,7.166196,5.696372,0.3678816
10806,ccw,0.2672187,27.12333,62.53575,44.7269,2.991648
10807,ccw,0.02651843,26.09421,21.138579999999997,13.4339,0.5625882
10808,ccw,1.5612549999999998,1213.9360000000001,1648.105,903.5678,39.86546
10809,ccw,0.7073848,32.51209,29.90263,25.19424,0.7583960999999999
10810,ccw,0.1620286,45.21593,69.6967,78.13349000000001,4.800530999999999
10811,ccw,0.05481637,18.86291,25.15618,26.397440000000003,0.9754451
10812,ccw,12.47883,1773.2579999999998,1260.3310000000001,712.0021,28.38099
10813,ccw,0.136544,68.5404,154.1577,158.1309,10.83842
10814,ccw,7.102138,842.0375,745.0179,546.4081,26.73495
10815,ccw,0.19591129999999998,22.67526,7.890346000000001,4.137166000000001,0.0792544
10816,ccw,3.7189059999999996,661.4293,773.1796,544.1861,25.168789999999998
10817,ccw,4.401211,420.9141,433.4633,245.3104,21.43927
10818,ccw,0.5538935,35.32865,13.550999999999998,7.359924,0.39464679999999996
10819,ccw,18.7492,928.9656,903.3168,643.8421,25.95498
10820,ccw,6.530707,958.8568,1418.2120000000002,1018.24,54.73198000000001
10821,ccw,0.08019428,13.36094,17.57597,15.1699,0.7657752
10822,ccw,12.55465,2784.136,2016.8329999999999,1288.2939999999999,42.242340000000006
10823,ccw,5.252534,2081.6220000000003,1425.9879999999998,1351.021,89.4814
10824,ccw,0.09717205,25.37219,44.97619,49.51013,1.8846040000000002
10825,ccw,1.404506,520.7846,600.6678,567.7137,23.02347
10826,ccw,0.45312349999999996,372.2041,802.5468,678.2996,4.745617
10827,ccw,10.79631,2831.094,4967.462,4840.927,71.19488
10828,ccw,0.11183330000000001,18.43766,16.955389999999998,8.514302,0.32839509999999994
10829,ccw,0.0399577,69.25233,48.91478,34.83348,0.8655364999999999
10830,ccw,1.750446,303.8139,565.0413,515.5424,2.273934
10831,ccw,1.5088219999999999,13.63057,13.680679999999999,7.905447000000001,0.4352974
10832,ccw,1.571205,304.0352,311.1799,345.9691,2.010558
10833,ccw,44.2176,86657.79,87799.72,43564.71,1595.1670000000001
10834,ccw,5.367452,1353.398,1518.3970000000002,765.5693,47.8876
10835,ccw,0.252216,27.133329999999997,14.221689999999999,2.998333,0.01789765
