,rotation,ra,dec,cx,cy,cz,raErr,decErr,raDecCorr,b,l,offsetRa_u,offsetRa_g,offsetRa_r,offsetRa_i,offsetRa_z,offsetDec_u,offsetDec_g,offsetDec_r,offsetDec_i,offsetDec_z
3173,cw,177.6827372,34.18817905,-0.82652009,0.0334459,0.56191273,0.048786792,0.050837267,-0.006065851999999999,75.18178652,180.790928,0.00236,0.017740000000000002,0,0.00172,0.01385,0.02215,0.00148,0,-0.015269999999999999,-0.00484
3174,cw,186.6477465,34.45158465,-0.8190604,-0.09546028,0.56570964,0.050317007000000004,0.050607938,0.000190263,80.94366468,157.4622011,-0.07047,-0.043019999999999996,0,-0.032639999999999995,-0.01687,-0.15669,-0.032389999999999995,0,0.0035399999999999997,-0.01948
3175,cw,188.1599612,34.408859899999996,-0.81667328,-0.11710193,0.56509459,0.05032175,0.049565673,-0.000958831,81.67750871,150.7709152,0.01547,-0.0625,0,-0.00257,0.020059999999999998,-0.13982999999999998,0.05685,0,0.0039299999999999995,0.01584
3176,cw,188.94978490000003,34.33641273,-0.81568666,-0.12845936,0.56405094,0.049890456,0.050171789,0.000445405,82.04899836,146.94993490000002,-0.29186999999999996,-0.030389999999999997,0,0.00626,-0.00073,-0.27004,-0.03858,0,0.0103,0.01185
3177,cw,192.1403769,34.3471201,-0.80716948,-0.17363720000000002,0.56420524,0.052473650999999996,0.047763549,-0.01353415,82.75484589,127.64495020000001,0.10468,0.006679999999999999,0,0.00137,0.00099,0.060779999999999994,-0.00172,0,-0.014980000000000002,-0.044739999999999995
3178,cw,195.24868,33.97484099,-0.80008679,-0.21810889,0.55882881,0.051383142,0.05201034400000001,0.002515939,82.85169276,106.8023906,1.2745600000000001,0.03818,0,0.02364,0.09675,0.57158,-0.006490000000000001,0,0.059129999999999995,0.06154
3179,cw,195.41050869999998,34.00519167,-0.79918207,-0.22028913,0.55926802,0.051313875,0.048064793,-0.013792654,82.78164699999999,105.8555045,0.58906,0.00875,0,-0.00266,0.036660000000000005,-0.30869,0.06538,0,-0.01414,0.03444
3180,cw,195.6201805,33.92531312,-0.79912071,-0.22342195,0.55811175,0.047185835999999995,0.044903458,-0.010666378999999998,82.79993354,104.33753349999999,0.05321,-0.00282,0,-0.01542,-0.01197,-0.09822,0.039580000000000004,0,-0.00091,-0.01625
3181,cw,198.6201255,33.68591352,-0.78853583,-0.26568001,0.55463987,0.047509199,0.054142862,0.036413936,81.77646462,87.20628391,0.05192000000000001,0.07935,0,0.02462,-0.007520000000000001,0.03465,0.0387,0,-0.00062,-0.06973
3182,cw,199.8053927,33.58821531,-0.78376009,-0.28225433,0.55322022,0.051883961,0.049668181,-0.013228903,81.19290652,81.78661997,-0.04558,0.00392,0,0.02326,0.00659,0.15969,0.0874,0,-0.029410000000000002,-0.07206
3183,cw,203.305276,33.10974868,-0.76928386,-0.33138995,0.54624449,0.051967975,0.050515717,-0.010744031999999999,79.17354188,68.98143737,-0.04328,-0.04593,0,0.0204,0.07642,0.11872,0.08891,0,-0.00698,-0.02317
3184,cw,203.370921,33.04237297,-0.76949279,-0.3325257,0.54525912,0.050796175,0.048862034000000006,-0.014773841000000001,79.16041252,68.5239537,0.25925,0.07929,0,-0.00489,-0.05143,0.03689,0.01646,0,0.01152,-0.01589
3185,cw,171.97003180000002,33.82816692,-0.82256589,0.11604286,0.55670406,0.04869004,0.051141201,-0.013038163,70.83476493,187.38697549999998,0.15229,0.008029999999999999,0,0.01967,0.028010000000000004,-0.09268,-0.02089,0,0.03582,-0.01952
3186,cw,172.39573700000003,34.19810124,-0.81982544,0.10945015,0.56205597,0.053583276,0.037084427,0.096507299,71.07504445,186.0040219,-0.01593,0.0032600000000000003,0,-0.00504,-0.04948,-0.025710000000000004,0.0047799999999999995,0,0.007859999999999999,-0.0028399999999999996
3187,cw,173.37481499999998,34.3162417,-0.82042302,0.09529166,0.5637601999999999,0.05383200900000001,0.037844831,0.08486143300000001,71.81324553,184.8978861,-0.06043,0.04384,0,0.01555,-0.0368,0.09819,0.05596,0,-0.00923,-0.026680000000000002
3188,cw,190.720525,34.71004871,-0.80769641,-0.15291551,0.5694236999999999,0.050704665,0.044506465999999995,-0.015024676,82.20002757,135.9978112,0.04927,0.08027000000000001,0,-0.033889999999999997,-0.052779999999999994,-0.16608,-0.09054,0,0.02062,0.03285
3189,cw,199.2501445,34.10165766,-0.78174667,-0.27300037,0.56066295,0.040721607,0.041817931,0.007735921999999999,81.12350407,86.25495445,0.0878,0.018080000000000002,0,-0.00875,-0.022930000000000002,-0.12673,-0.01396,0,0.060520000000000004,0.08635
