,rotation,q_u,q_g,q_r,q_i,q_z,qErr_u,qErr_g,qErr_r,qErr_i,qErr_z,u_u,u_g,u_r,u_i,u_z,uErr_u,uErr_g,uErr_r,uErr_i,uErr_z
10,cw,-0.05471991,0.05862328,0.03265886,0.01431959,-0.002400605,0.05355468,0.007094093,0.00632028,0.007105255,0.0166988,0.005883777,-0.0418161,-0.04185005,-0.03619521,-0.01476321,0.05339688,0.007082189,0.0063245969999999995,0.007113099,0.01670234
11,cw,-0.05822454,-0.02817967,-0.0300639,-0.03301248,-0.01056186,0.16549979999999997,0.008981539,0.009286759,0.009820457,0.02720179,-0.01525513,-0.01878929,-0.01580255,-0.02811593,-0.025006099999999996,0.16497989999999998,0.008977583,0.009280694,0.009817524000000001,0.02721576
12,cw,0.07338637,0.08439874,0.08420586,0.09386156,0.08231383,0.008456909,0.00184234,0.001620121,0.0019997689999999998,0.005173576,-0.02245928,0.004817498,0.01454565,0.01419634,0.011397200000000001,0.008415971,0.0018293979999999999,0.001609095,0.00198278,0.005139541
13,cw,-0.2589051,-0.2572747,-0.2632171,-0.2581178,-0.2542933,0.02700476,0.004235264,0.003441182,0.003774188,0.01116072,0.003574045,0.0050017609999999995,-0.00034394300000000004,0.004071775,-0.005194687,0.02535871,0.003980111,0.003224991,0.0035454220000000003,0.01050252
14,cw,0.1314151,0.12257280000000001,0.10403659999999999,0.1021635,0.1099219,0.01652009,0.0025176820000000003,0.0020262120000000003,0.002153675,0.006419053,-0.1147469,-0.09901578,-0.10327660000000001,-0.1107036,-0.10632860000000001,0.01645444,0.00250489,0.002025899,0.002157507,0.006414181
15,cw,-0.1141586,-0.037257599999999995,-0.039582,-0.03805969,-0.08168131,0.02236063,0.002490131,0.0018740389999999999,0.001991459,0.00653028,0.04163631,0.02235747,0.02334694,0.02916479,0.03329222,0.02211303,0.002487924,0.00187213,0.001990271,0.006494328000000001
16,cw,-0.09739506,0.01179799,0.04893163,0.03632721,0.01609745,0.04568153,0.03904748,0.04105482,0.03731717,0.01806191,-0.01185421,-0.02656331,-0.02479968,-0.0123874,-0.02841604,0.04526063,0.03906959,0.04098206,0.03727374,0.0180718
17,cw,0.29547690000000004,0.3159031,0.27953579999999995,0.2824147,0.2795871,0.03598242,0.005909538000000001,0.01040592,0.005520131,0.0178318,0.174372,0.1301095,0.12330899999999999,0.1286079,0.1164143,0.03419495,0.005486146999999999,0.009823225,0.005210482,0.01680583
18,cw,-0.01215057,-0.026500799999999998,-0.03060159,-0.02918345,-0.03714838,0.009132269,0.001386509,0.001191166,0.001356484,0.00431006,-0.02371477,-0.01974168,-0.02345388,-0.02286265,-0.03337928,0.009136055,0.001386077,0.0011907060000000001,0.001356038,0.004308917
19,cw,-0.01610035,0.02042748,0.02846009,0.03781497,0.03852431,0.03891313,0.006263716999999999,0.005406886999999999,0.006165006999999999,0.02090116,4.8700000000000005e-05,0.03028778,0.04312016,0.04885423,0.08346117,0.03890305,0.006266845,0.005412549,0.006170885,0.02101509
20,cw,0.03462699,0.01392377,-0.004530131,-0.0060080409999999996,0.03187881,0.01465446,0.002327126,0.001988287,0.002331213,0.007355048,-0.03223217,-0.02054997,-0.02314615,-0.02555782,-0.03170955,0.01465212,0.002327657,0.001989311,0.0023326510000000003,0.007354969
21,cw,0.09524132,0.03185472,0.02672131,0.0299038,0.08260207,0.03162965,0.0057031830000000006,0.0062746009999999994,0.005559258,0.01847151,-0.01942587,-0.05010185,-0.04895632,-0.04141607,-0.06701612,0.03135842,0.005711689,0.006285135,0.005563812,0.01842897
22,cw,0.04315761,-0.02634768,-0.002853734,-0.0258099,-0.02441075,0.02954916,0.003893995,0.00334599,0.003683251,0.01098265,-0.1180538,-0.07678092,-0.09725566,-0.10526920000000001,-0.09522944,0.02990251,0.003914168,0.003377463,0.003721366,0.0110752
23,cw,-0.05825662,0.01252777,0.01692281,0.01800451,0.001043268,0.04266224,0.004407246,0.0035088859999999997,0.003662183,0.01066977,-0.005375024,0.03020291,0.02917832,0.03067115,0.03401759,0.04251941,0.004410573,0.003510867,0.0036644390000000002,0.0106821
24,cw,-0.05200617,-0.05795706,-0.04826499,-0.05435248,-0.05137799,0.01128857,0.007201123,0.0019017489999999999,0.0022464720000000002,0.00592799,0.03206369,-0.005234051,-0.006241964,-0.009933298,-0.01691896,0.01126973,0.007177251999999999,0.001897408,0.002240086,0.005914096
25,cw,-0.22680370000000002,-0.1531031,-0.15362320000000002,-0.13272160000000002,-0.1686551,0.04301535,0.005169615,0.004380930999999999,0.004781395999999999,0.01953915,-0.02997047,-0.04596199,-0.04898798,-0.04665608,-0.06387277,0.04099672,0.005063199,0.004291324,0.0047095520000000005,0.01908339
26,cw,-0.07283839999999998,-0.04359004,-0.04270471,-0.03685075,-0.06016501,0.03820397,0.004708579,0.0038100990000000004,0.00407772,0.01515593,-0.05416759,-0.07848855,-0.07295661,-0.09456917,-0.09345339,0.03811422,0.004728520999999999,0.003823359,0.004108451,0.01523268
27,cw,0.05886782,0.02088336,0.006536017,0.01397351,0.01185391,0.02595475,0.002831077,0.0019450210000000001,0.0020468170000000003,0.0070163,0.02985007,0.006108666,-0.005128095,-0.002105495,-0.003973745,0.0258883,0.0028299490000000004,0.001944989,0.002046427,0.007015425
28,cw,-0.24766010000000002,-0.1242095,-0.11802830000000002,-0.1225671,-0.1925679,0.01878181,0.009928925,0.008458369,0.007468635,0.007078147,-0.006627224,-0.01004176,-0.009779129000000001,-0.01012461,-0.009946953,0.0177268,0.009780183000000001,0.008343742,0.0073596569999999995,0.0068301
29,cw,0.01089432,0.0022870620000000003,0.01388026,0.01374267,0.002476117,0.01408721,0.002233703,0.0018894679999999998,0.002198944,0.007700843000000001,-0.01258752,-0.009128533000000001,-0.002730175,-0.007155017,0.0007689,0.01408777,0.002233877,0.001889118,0.002198641,0.0077008
30,cw,0.26960809999999996,0.29211679999999995,0.2795592,0.27249670000000004,0.2491159,0.03903351,0.004029994,0.002926248,0.0029941240000000004,0.009537456,-0.03472002,-0.08065610000000001,-0.08124472,-0.09272383,-0.07011884,0.03651626,0.003748826,0.002739192,0.002817765,0.009039648
31,cw,-0.09252129,-0.1029506,-0.1249499,-0.1296325,-0.11352280000000001,0.04019731,0.005873486,0.006383891,0.006985045,0.02217592,-0.1587473,-0.10356480000000001,-0.11042939999999998,-0.11642770000000001,-0.14399160000000003,0.04084966,0.005874216,0.006362698000000001,0.006963053,0.0223449
32,cw,-0.04288796,0.02400408,0.008249019,0.02426571,-0.01079922,0.04057024,0.005346825,0.00444812,0.004648021,0.01753344,-0.07185462,-0.058348199999999996,-0.04070745,-0.06193991,-0.03957415,0.04070436,0.005361909000000001,0.004455182,0.004663075,0.01755883
33,cw,-0.05690435,-0.06824598,-0.07466923,-0.07477825,-0.06062643,0.04607164,0.005028042,0.004155822,0.0043600670000000005,0.0160923,-0.03528786,-0.01179096,-0.01363268,-0.006555233000000001,0.009566485999999999,0.04598033,0.005005482,0.004133611,0.004336075,0.01603494
34,cw,-0.03004544,-0.06804285,-0.06552668,-0.06686489,-0.04129038,0.01407719,0.002198453,0.001881214,0.002186399,0.00563396,0.1178712,0.1015192,0.104996,0.10896220000000001,0.1194214,0.01425856,0.002210783,0.001893726,0.0022023810000000002,0.0057040269999999995
35,cw,-0.06270611,-0.0368222,-0.03225176,-0.02151877,-0.01754773,0.01088564,0.005726675,0.006412613,0.006340492,0.008153765,0.07185158,0.09934992,0.08534122,0.08359517,0.05945393,0.01089892,0.0057750990000000006,0.00645244,0.006381692,0.008180017
36,cw,-0.19090839999999998,-0.21921269999999998,-0.230834,-0.22549670000000002,-0.2248011,0.009198676,0.001735555,0.001253236,0.001442144,0.003631113,0.02346881,0.02721783,0.02700242,0.02554081,0.02945347,0.008885592,0.00165895,0.00119223,0.001374866,0.003463447
37,cw,0.01936077,-0.03732687,-0.04119579,-0.03851818,-0.02275974,0.01287863,0.001866376,0.001619969,0.0019899510000000002,0.005316823,-0.000587205,0.000130019,-0.003800203,-0.005368263000000001,-0.004319673,0.01287381,0.0018637810000000001,0.00161725,0.001987062,0.00531417
38,cw,-0.03739997,0.0122795,0.01056387,0.001053561,0.0037924940000000004,0.04899603,0.005902381,0.004437969,0.005427031,0.01352966,0.05953326,0.12343050000000001,0.14647670000000002,0.1263889,0.14648770000000003,0.04910074,0.005990726,0.004531681,0.005513036,0.01381674
39,cw,-0.04789523,-0.02043444,-0.06202488,-0.0649533,-0.07779533,0.03082427,0.005435176,0.004097399999999999,0.005189319,0.01398407,0.051519100000000005,0.07259625,0.06126204,0.0591169,0.06256673,0.03083532,0.005461465,0.0040970170000000005,0.005185592,0.01395451
40,cw,0.1717725,0.05723471,0.06657773,0.07793227,0.05153247,0.06393647,0.00773607,0.006835111,0.008368918000000001,0.02220472,0.07894992,0.05160134,0.06266068,0.0685225,0.06731191,0.06251562,0.0077313569999999995,0.00683168,0.008357515,0.022246099999999998
41,cw,0.1030091,0.01111955,0.0075305580000000006,0.00451144,0.01384021,0.03356929,0.004780814,0.00408925,0.004268223,0.008618684,-0.03767033,-0.02913885,-0.02636559,-0.02566623,-0.02694948,0.03326577,0.00478428,0.00409186,0.004270947,0.00862329
42,cw,-0.06474423,-0.01299874,-0.01021655,-0.006886754,-0.008457359000000001,0.01213473,0.001697476,0.0014807720000000002,0.001717284,0.004704773,-0.02993501,-0.03531777,-0.03854559,-0.04572443,-0.04667979,0.012095,0.001699305,0.001482815,0.001720789,0.004714676
43,cw,0.01928224,-0.01805821,-0.01627825,-0.02988026,0.00732791,0.02104896,0.0033407640000000004,0.003258418,0.003918904,0.0119252,0.01966181,0.0309885,0.03326118,0.03260515,0.04072799,0.02104927,0.003342881,0.003261157,0.00391957,0.01194432
44,cw,-0.14593270000000003,-0.1480861,-0.1529751,-0.1596388,-0.15322120000000003,0.01487818,0.01380645,0.0019025829999999998,0.001516332,0.003936235,-0.02360896,-0.01785001,-0.01914644,-0.01671103,-0.01634837,0.01457922,0.01351759,0.001860246,0.0014795189999999999,0.003847985
45,cw,-0.05093295,-0.02015025,-0.01931987,-0.01441208,-0.03408204,0.02771088,0.0057305559999999995,0.005457605,0.005734792,0.008465974,-0.09524991,-0.05483791,-0.06318048,-0.06321705,-0.06478132,0.0278889,0.005745431,0.005477303,0.005756469,0.008491569000000001
46,cw,-0.02671393,-0.04256875,-0.04227736,-0.04822407,-0.03805719,0.009351795999999999,0.001301768,0.001047047,0.001190661,0.003114382,0.01510509,0.02288207,0.03896561,0.04397175,0.04771309,0.009347260999999999,0.001300095,0.001046766,0.0011901960000000001,0.003116953
47,cw,0.0638773,0.04143151,0.03613757,0.02562215,0.03981989,0.0257489,0.003281578,0.002806196,0.003303123,0.009587287,-0.0384065,-0.03752938,-0.04399096,-0.04767431,-0.05041382,0.02568228,0.00328057,0.002807956,0.0033084509999999996,0.009596419
48,cw,-0.06768864,-0.05483291,-0.05993007,-0.06122483,-0.05411623,0.007748576,0.001250248,0.001650154,0.00173596,0.004104335,0.0013665770000000001,0.0007311039999999999,0.003000642,0.003971762,0.005295691999999999,0.0077133309999999995,0.001246506,0.001644274,0.001729516,0.004092482
49,cw,-0.0155942,0.02522513,0.02275244,0.02224847,0.02317958,0.03612204,0.006452738,0.006584807,0.006591736999999999,0.01804862,-0.0077042790000000005,0.00861016,0.009352576,-0.008753737,0.03351321,0.0361154,0.006449115,0.006581976999999999,0.006588981999999999,0.01805918
50,cw,0.03381842,0.05840653,0.04839677,0.04165521,0.03197495,0.00821581,0.0018979510000000002,0.001165494,0.00119897,0.0032387559999999998,-0.07232758,-0.08450361,-0.09178032,-0.10364680000000001,-0.11427169999999999,0.008249248,0.0019049689999999998,0.001172527,0.001209684,0.003277425
51,cw,-0.06917556,-0.09570149,-0.1046396,-0.1083316,-0.1066854,0.01477221,0.002302789,0.001677655,0.0019295679999999998,0.0054971659999999995,-0.0146582,-0.007004364,-0.001771653,-0.00123268,-0.0016842570000000002,0.01470519,0.002282095,0.0016595870000000001,0.0019073170000000002,0.005435663
52,cw,-0.4229876,-0.26261840000000003,-0.284269,-0.2699026,-0.3087594,0.08836792,0.00929751,0.00611594,0.00672246,0.018541099999999998,0.1847836,0.08940742,0.09545933,0.1038896,0.09875162,0.07838183,0.008785201,0.005726028,0.006347917,0.01715676
