,rotation,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,psfMagErr_u,psfMagErr_g,psfMagErr_r,psfMagErr_i,psfMagErr_z,lnLStar_u,lnLStar_g,lnLStar_r,lnLStar_i,lnLStar_z,probPSF_u,probPSF_g,probPSF_r,probPSF_i,probPSF_z
3275,cw,20.597720000000002,19.573970000000003,19.16855,18.91883,18.621489999999998,0.0669703,0.03244957,0.0228735,0.02371997,0.03905744,-641.3176,-18926.06,-18123.24,-9686.869,-1487.731,0,0,0,0,0
3276,cw,20.57891,19.21001,18.81174,18.45337,18.301289999999998,0.06000901,0.0182616,0.01607099,0.01727969,0.02819574,-171.5593,-23930.86,-28384.11,-22116.76,-4234.8820000000005,0,0,0,0,0
3277,cw,20.15287,18.8922,18.273789999999998,17.99616,17.75575,0.04281365,0.01412071,0.01617887,0.02278188,0.02349269,-993.1786,-38803.59,-45824.37,-37624.78,-7722.285,0,0,0,0,0
3278,cw,21.10727,19.324460000000002,18.64488,18.21845,17.741989999999998,0.08197909,0.01629646,0.020223400000000002,0.01626153,0.02458014,-340.7519,-19636.28,-28970.54,-24850.9,-5589.439,0,0,0,0,0
3279,cw,20.85153,19.42129,18.61683,18.13638,17.76728,0.07665278,0.01877949,0.01982204,0.01491185,0.02277678,-122.9776,-18975.0,-30190.23,-25747.92,-5521.024,0,0,0,0,0
3280,cw,21.005779999999998,18.912689999999998,18.00487,17.566879999999998,17.240779999999997,0.07408436,0.01804698,0.0158449,0.012181399999999998,0.02253261,-433.4089,-25531.46,-35891.99,-30131.67,-6436.039000000001,0,0,0,0,0
3281,cw,20.666120000000003,19.03134,17.97842,17.5376,17.20319,0.06563198,0.02087558,0.01758129,0.01667621,0.02147154,-183.2071,-11455.42,-17662.89,-917.0804,-5049.194,0,0,0,0,0
3282,cw,20.32591,18.42269,17.439629999999998,17.13021,16.64242,0.04788841,0.01532671,0.01768355,0.01524216,0.01659441,-871.2352,-47746.01,-64503.46,-60927.18,-17026.75,0,0,0,0,0
3283,cw,20.80891,18.83217,17.95737,17.60074,17.23466,0.06725930000000001,0.01422105,0.01234419,0.01636347,0.01863373,-498.4106,-40721.79,-61017.93,-56518.16,-15448.61,0,0,0,0,0
3284,cw,21.04598,19.69591,19.20192,18.97317,18.66797,0.08119617,0.02475865,0.02617558,0.04337028,0.05211236,-394.7557,-19731.93,-22644.21,-16829.01,-2195.433,0,0,0,0,0
3285,cw,20.554920000000003,19.11855,18.400779999999997,18.00411,17.5817,0.06705704,0.01764708,0.0166651,0.01506114,0.03028441,-571.4298,-37114.75,-46020.38,-39364.79,-7427.488,0,0,0,0,0
3286,cw,21.34611,19.42568,18.57716,18.21296,17.92064,0.09857498,0.04497034,0.03554535,0.01890407,0.02369441,-297.065,-17500.93,-30786.99,-26627.29,-4309.022,0,0,0,0,0
3287,cw,19.96504,19.23084,18.42428,18.197039999999998,18.06789,0.06003259,0.02184913,0.01637982,0.01698009,0.02299187,-1430.392,-33762.5,-40728.02,-33934.61,-5918.818,0,0,0,0,0
3288,cw,20.51624,19.4971,18.85899,18.496779999999998,18.22557,0.07045699,0.01850695,0.01260673,0.02280653,0.02804556,-327.8026,-11256.43,-14895.37,-12663.73,-2988.156,0,0,0,0,0
3289,cw,20.15515,18.45284,17.720760000000002,17.5546,17.15351,0.0702353,0.02361185,0.01685856,0.01570629,0.01877428,-533.4814,-44408.53,-70711.04,-63332.75,-12440.85,0,0,0,0,0
3290,cw,20.72997,18.76655,18.001179999999998,17.55881,16.996389999999998,0.06412156,0.02700069,0.02917272,0.01645805,0.01624412,-1488.9820000000002,-56318.46,-72906.91,-71162.41,-18246.69,0,0,0,0,0
3291,cw,21.76241,20.40599,19.66757,19.38075,18.87261,0.1682769,0.03504526,0.02388723,0.02287469,0.03811729,-86.04002,-5688.4490000000005,-11822.55,-9716.454,-1230.425,0,0,0,0,0
3292,cw,21.15695,20.30376,19.59035,19.53343,19.31888,0.08860143,0.03152525,0.02043357,0.02922309,0.05398447,-114.2482,-6853.746999999999,-11655.23,-5426.281999999999,-708.0763,0,0,0,0,0
3293,cw,20.13779,18.40331,17.587770000000003,17.32676,16.9481,0.04122659,0.01973239,0.01433632,0.01593262,0.02315875,-641.3633,-38998.63,-61879.29,-53244.46,-10135.0,0,0,0,0,0
3294,cw,20.34618,18.960079999999998,18.15213,17.82187,17.4011,0.05064993,0.02379582,0.01633377,0.0173137,0.01969172,-938.3058,-28846.93,-39369.98,-34589.96,-6458.906999999999,0,0,0,0,0
3295,cw,20.57001,19.25774,18.47245,18.09499,17.77354,0.07254425,0.01909719,0.01819792,0.01599244,0.02346819,-95.1587,-10521.29,-13041.79,-13366.02,-1529.9820000000002,0,0,0,0,0
3296,cw,20.7411,19.62271,18.851779999999998,18.502489999999998,18.18028,0.08266860000000001,0.02431439,0.01563893,0.01650739,0.02691239,-22.1347,-5156.827,-8252.646,-8668.461,-973.1136,0,0,0,0,0
3297,cw,20.4492,19.24909,18.94489,18.68048,18.437739999999998,0.07029749,0.02292516,0.02036899,0.02056631,0.03658933,-548.7616,-33487.45,-34971.34,-31582.66,-3362.913,0,0,0,0,0
3298,cw,20.83926,19.41321,18.53879,18.302020000000002,17.8695,0.09053439999999999,0.02139875,0.01866417,0.01844729,0.02450764,-389.8237,-26028.09,-38751.91,-39953.52,-6611.704000000001,0,0,0,0,0
3299,cw,19.9806,18.799139999999998,18.22632,17.77425,17.64174,0.05103974,0.01890124,0.01440899,0.01931268,0.02706048,-169.8912,-16738.92,-15508.71,-14236.84,-1775.944,0,0,0,0,0
3300,cw,20.42732,19.2589,18.798389999999998,18.66265,18.4084,0.06219982,0.03351684,0.01975512,0.01999771,0.03183777,-883.3832,-49082.45,-45384.52,-36826.83,-2880.656,0,0,0,0,0
3301,cw,20.3981,18.95685,18.18058,17.96631,17.64975,0.058890099999999994,0.02063869,0.01257986,0.01311857,0.019622900000000002,-485.301,-36186.06,-42652.99,-42410.65,-6457.263000000001,0,0,0,0,0
3302,cw,17.15614,17.09147,16.88862,16.81537,16.610429999999997,0.02475069,0.02753599,0.01695407,0.0198273,0.01526325,-785.8705,-61978.37,-73895.8,-75263.43,-16077.9,1,0,0,0,0
3303,cw,20.09644,18.7075,18.07638,17.90706,17.51185,0.04877822,0.01771904,0.01076722,0.01654804,0.01917519,-3077.0229999999997,-98483.17,-109141.5,-110488.5,-27921.32,0,0,0,0,0
3304,cw,21.81233,20.57845,20.04196,19.79697,19.49618,0.1812726,0.02986855,0.021256,0.02670992,0.05486733,-64.14372,-6523.891,-6858.236999999999,-5632.389,-594.1188,0,0,0,0,0
3305,cw,22.23893,20.26257,19.62075,19.35612,18.96997,0.233312,0.02383306,0.01896174,0.01904353,0.03842612,-38.31989,-9550.975,-9767.689,-8390.885,-701.7227,0,0,0,0,0
3306,cw,19.86394,18.91863,18.214489999999998,17.744,17.20691,0.03965658,0.01970808,0.01911847,0.01211011,0.0227975,-1490.4279999999999,-29626.91,-71220.76,-72957.81,-17128.68,0,0,0,0,0
3307,cw,20.43253,19.313679999999998,18.7183,18.44077,18.08319,0.0628429,0.02570932,0.01680157,0.01849423,0.02557829,-224.8194,-21741.59,-26215.83,-24849.78,-2574.541,0,0,0,0,0
3308,cw,21.16928,20.34676,20.02383,19.94205,19.642139999999998,0.10068010000000001,0.02861133,0.02371083,0.02756366,0.06822317,-49.74966,-10681.29,-7133.879,-4473.521,-241.6402,0,0,0,0,0
3309,cw,20.66487,19.03302,18.30056,17.85135,17.21361,0.08087353,0.01820843,0.01492384,0.02520916,0.02288837,-484.9807,-35068.05,-47875.78,-53120.06,-16012.4,0,0,0,0,0
3310,cw,20.7113,18.82329,18.0465,17.62944,17.23848,0.07367422,0.01878195,0.01530085,0.02225,0.02041677,-188.1313,-26327.62,-35115.67,-35697.09,-6386.789000000001,0,0,0,0,0
3311,cw,20.708170000000003,19.49249,19.22095,19.16186,18.777839999999998,0.06896954,0.02346259,0.01828949,0.02157076,0.0413469,-361.0659,-11309.16,-11081.0,-7102.7919999999995,-977.3259,0,0,0,0,0
3312,cw,20.4695,18.68531,17.88563,17.44231,16.92901,0.06177611,0.02411927,0.01163784,0.01807438,0.02184641,-476.1115,-29718.72,-40010.98,-43513.13,-8531.814,0,0,0,0,0
3313,cw,19.687160000000002,18.545720000000003,18.15341,17.79993,17.3014,0.04062225,0.03072867,0.02796226,0.02389807,0.01842073,-3447.493,-62810.64,-42855.02,-70333.45,-17831.08,0,0,0,0,0
3314,cw,21.088829999999998,19.841829999999998,19.45074,19.24863,18.88344,0.0990343,0.02287473,0.02196317,0.02221351,0.037227800000000005,-106.2978,-23282.02,-20478.04,-16719.17,-1735.839,0,0,0,0,0
3315,cw,20.32153,18.74718,18.26904,17.940520000000003,17.53369,0.06377007,0.01649209,0.01141482,0.01538914,0.02125582,-628.7988,-48425.22,-55796.97,-54275.97,-7788.021,0,0,0,0,0
3316,cw,21.58034,20.29253,19.48645,19.18583,18.90713,0.1684473,0.02457669,0.02042504,0.02024559,0.05142947,-110.8633,-8707.105,-9070.558,-6496.813,-519.6013,0,0,0,0,0
3317,cw,21.15154,19.7134,18.91326,18.65694,18.54795,0.08804001,0.02571374,0.03571325,0.01741218,0.03466106,-334.6242,-24210.25,-26545.21,-21084.63,-2156.288,0,0,0,0,0
3318,cw,21.08277,19.59955,18.764670000000002,18.30571,18.21315,0.1068414,0.01874136,0.02280326,0.0225277,0.029649900000000003,-220.0979,-17179.16,-20086.44,-15770.51,-1481.2220000000002,0,0,0,0,0
3319,cw,20.583270000000002,19.29665,18.57475,18.11435,17.994670000000003,0.07126699,0.01506593,0.02220898,0.02184596,0.02549256,-830.9269,-35348.27,-37163.89,-30598.76,-3866.991,0,0,0,0,0
3320,cw,19.79254,18.65926,18.41788,18.148970000000002,17.96058,0.04553524,0.01744794,0.01357452,0.01862176,0.03208382,-1831.4170000000001,-45243.93,-42831.93,-33229.7,-3874.6,0,0,0,0,0
3321,cw,21.32988,19.79782,18.86363,18.50279,18.16497,0.1134904,0.01984815,0.02032302,0.01813434,0.02784489,-148.7959,-14162.27,-18794.46,-15623.65,-1780.154,0,0,0,0,0
3322,cw,20.88222,19.1536,18.2674,17.956879999999998,17.61286,0.07232898,0.01460525,0.01353004,0.01875319,0.02251148,-220.6348,-15538.64,-17825.25,-16105.46,-2002.059,0,0,0,0,0
3323,cw,20.00169,18.27113,17.438589999999998,17.1762,16.78294,0.04013218,0.01379669,0.010489,0.01099896,0.01752721,-783.1413,-62806.53,-78493.23,-75690.78,-16591.54,0,0,0,0,0
3324,cw,21.89836,19.83165,18.83685,18.58532,18.23922,0.1478034,0.01691129,0.01172051,0.02137312,0.02296898,-59.73092,-8804.386999999999,-15605.48,-15349.33,-2040.017,0,0,0,0,0
3325,cw,20.92417,19.65407,18.86362,18.73377,18.38917,0.07073782,0.02169612,0.0209938,0.01779188,0.02584476,-491.7606,-20608.89,-21843.15,-19311.55,-2213.561,0,0,0,0,0
3326,cw,21.83969,20.19924,19.34384,18.915470000000003,18.56865,0.16320479999999998,0.02394495,0.01804336,0.02301621,0.02980496,-25.52488,-11504.42,-15806.17,-13782.17,-1662.425,0,0,0,0,0
3327,cw,20.08899,18.72803,17.94291,17.55594,17.24117,0.04255623,0.01448605,0.02147394,0.02503493,0.01781409,-4915.44,-78435.05,-84800.83,-79307.72,-21394.27,0,0,0,0,0
3328,cw,20.04648,19.1683,18.808139999999998,18.694960000000002,18.64219,0.04671574,0.02244434,0.02160395,0.02568998,0.03673244,-1242.578,-44155.55,-38767.75,-28302.74,-2852.468,0,0,0,0,0
3329,cw,19.8954,18.44069,17.48995,17.18554,16.8902,0.04154619,0.02178124,0.0155311,0.01335769,0.01518756,-1963.77,-95861.41,-108665.3,-105637.0,-26864.1,0,0,0,0,0
3330,cw,20.51148,19.179370000000002,18.41713,18.12557,17.81249,0.05234640000000001,0.01763448,0.02043382,0.01337663,0.02178263,-384.8276,-20555.64,-26391.87,-24314.72,-3814.1059999999998,0,0,0,0,0
3331,cw,21.38283,19.77514,19.11395,18.875770000000003,18.41206,0.09972804,0.02011701,0.01715407,0.01738704,0.02903211,-372.2101,-20451.5,-22861.25,-18859.67,-2107.044,0,0,0,0,0
3332,cw,20.242279999999997,19.12724,18.49042,18.11479,17.81094,0.04415962,0.01656677,0.01783077,0.019859400000000003,0.02301806,-392.7897,-32575.26,-37788.17,-31952.19,-4001.801,0,0,0,0,0
