,rotation,sky_u,sky_g,sky_r,sky_i,sky_z,skyErr_u,skyErr_g,skyErr_r,skyErr_i,skyErr_z
1628,cw,1.7399999999999998e-09,1.87e-09,4.8e-09,9.24e-09,3e-08,8.759999999999999e-11,1.2200000000000002e-10,1.6000000000000002e-10,2.62e-10,3.1399999999999995e-10
1629,cw,1.6300000000000002e-09,1.8e-09,4.86e-09,9.46e-09,2.93e-08,1.28e-12,7.249999999999999e-12,3.9e-11,1.66e-10,3.01e-10
1630,cw,1.25e-09,1.56e-09,4.91e-09,9.73e-09,3.34e-08,2.89e-11,1.49e-11,3.29e-11,2.4399999999999998e-11,4.51e-11
1631,cw,1.5299999999999999e-09,1.75e-09,5.03e-09,9.109999999999999e-09,2.92e-08,2.96e-12,1.8800000000000002e-11,1.9e-11,2.2399999999999998e-11,3.4100000000000004e-11
1632,cw,1.6e-09,1.7800000000000003e-09,5.01e-09,9.159999999999999e-09,3.08e-08,1.26e-12,4.47e-13,7.979999999999998e-13,1.28e-12,5.17e-12
1633,cw,1.7199999999999999e-09,1.98e-09,5.4600000000000006e-09,1.01e-08,3.15e-08,2.21e-10,8.06e-10,1.88e-09,2.52e-09,2.8100000000000004e-09
1634,cw,1.7699999999999999e-09,1.88e-09,4.92e-09,8.78e-09,2.9100000000000002e-08,2.86e-12,8.359999999999999e-11,2.57e-10,7.95e-10,1.37e-10
1635,cw,1.7600000000000001e-09,1.94e-09,4.99e-09,8.940000000000001e-09,2.9100000000000002e-08,8.6e-11,1.3899999999999999e-10,1.8100000000000002e-10,1.72e-10,2.75e-10
1636,cw,1.3400000000000001e-09,1.6300000000000002e-09,4.93e-09,9.78e-09,3.4e-08,9.710000000000001e-12,3.1899999999999995e-11,4.21e-11,7.259999999999999e-11,5.19e-11
1637,cw,1.3300000000000002e-09,1.62e-09,4.91e-09,9.670000000000002e-09,3.42e-08,1.29e-12,4.3700000000000006e-13,7.95e-13,1.33e-12,6.190000000000001e-12
1638,cw,1.3900000000000002e-09,1.7199999999999999e-09,4.92e-09,9.470000000000001e-09,3.1299999999999996e-08,1.97e-11,6.05e-11,5.95e-11,1.1400000000000001e-10,4.2899999999999995e-11
1639,cw,1.5299999999999999e-09,1.7600000000000001e-09,4.88e-09,9.13e-09,2.92e-08,8.25e-11,4.66e-11,5.670000000000001e-11,6.85e-11,1.2399999999999999e-10
1640,cw,1.6699999999999998e-09,1.94e-09,5.04e-09,8.84e-09,2.6800000000000002e-08,4.2e-11,1.0200000000000001e-10,1.96e-10,3.04e-10,3.02e-10
1641,cw,1.6699999999999998e-09,1.88e-09,4.82e-09,9.309999999999999e-09,2.84e-08,1.96e-11,5.09e-11,1.67e-10,2.74e-10,7.22e-11
1642,cw,1.6300000000000002e-09,1.89e-09,5.06e-09,9.56e-09,2.89e-08,2.5300000000000002e-11,2.03e-11,9.57e-11,4.3100000000000005e-11,8.77e-11
1643,cw,1.6899999999999997e-09,1.82e-09,5.02e-09,9.270000000000001e-09,2.71e-08,3.3e-11,2.87e-11,1.09e-10,1.8100000000000002e-10,2.7399999999999997e-11
1644,cw,1.79e-09,1.84e-09,5.05e-09,9.179999999999998e-09,2.8199999999999998e-08,6.85e-11,8.06e-11,1.09e-10,1.43e-10,2.41e-10
1645,cw,1.7399999999999998e-09,1.8299999999999999e-09,4.9e-09,9.05e-09,2.84e-08,1.3700000000000002e-12,3.69e-12,7.14e-12,6.02e-12,5.1e-12
1646,cw,1.7800000000000003e-09,1.88e-09,4.72e-09,9.29e-09,3.07e-08,1.24e-12,4.7e-13,7.63e-13,1.32e-12,4.6299999999999995e-12
1647,cw,1.82e-09,1.85e-09,4.95e-09,9.84e-09,3.16e-08,7.640000000000002e-11,2.2700000000000002e-10,5.16e-10,7.42e-10,8.820000000000001e-10
1648,cw,1.3800000000000002e-09,1.62e-09,5.08e-09,9.53e-09,2.96e-08,1.61e-12,4.93e-13,9.33e-13,1.56e-12,5.84e-12
1649,cw,1.6399999999999997e-09,1.89e-09,5.03e-09,9.470000000000001e-09,2.88e-08,6.99e-12,5.77e-11,1.0699999999999999e-10,1.37e-10,3.64e-11
1650,cw,1.52e-09,1.7399999999999998e-09,4.26e-09,7.23e-09,2.2400000000000002e-08,7.8e-11,1.13e-10,1.2200000000000002e-10,1.94e-10,2.52e-10
1651,cw,1.4800000000000003e-09,1.66e-09,4.15e-09,7.3e-09,2.17e-08,3.0500000000000005e-11,4.76e-11,6.84e-11,8.5e-11,1.35e-10
1652,cw,1.5299999999999999e-09,2.09e-09,4.23e-09,6.84e-09,2.0299999999999996e-08,3.39e-11,1.1899999999999999e-08,1.67e-10,1.13e-10,7.02e-11
1653,cw,1.58e-09,1.6399999999999997e-09,4.25e-09,7.0499999999999994e-09,2.12e-08,6.47e-12,2.58e-10,5.94e-10,7.99e-10,7.939999999999999e-10
1654,cw,1.51e-09,1.65e-09,4.17e-09,7.0799999999999995e-09,2.15e-08,1.16e-12,7.2199999999999995e-12,2.1e-11,3.11e-11,4.1799999999999996e-12
1655,cw,1.58e-09,1.6800000000000002e-09,4.08e-09,6.8099999999999994e-09,2.23e-08,8.709999999999999e-11,1.1e-10,1.06e-10,2.1000000000000002e-10,3.2000000000000003e-10
1656,cw,1.61e-09,1.6699999999999998e-09,4.35e-09,7.28e-09,2.25e-08,3.66e-11,6.24e-11,5.32e-11,8.759999999999999e-11,1.41e-10
1657,cw,1.6399999999999997e-09,1.65e-09,4.31e-09,7.43e-09,2.33e-08,1.15e-12,4.4499999999999997e-13,7.26e-13,1.09e-12,4.21e-12
1658,cw,1.49e-09,1.7699999999999999e-09,4.51e-09,7.340000000000001e-09,2.2400000000000002e-08,1.1099999999999999e-11,5.0000000000000005e-12,9.62e-12,2.2e-11,1.24e-11
1659,cw,1.56e-09,1.7300000000000002e-09,4.29e-09,6.77e-09,2.18e-08,1.73e-10,2.26e-10,1.8300000000000001e-10,2.43e-10,2.7e-10
1660,cw,1.5299999999999999e-09,1.6300000000000002e-09,4.34e-09,6.93e-09,2.18e-08,1.27e-12,4.24e-13,7.229999999999999e-13,1.04e-12,4.52e-12
1661,cw,1.54e-09,1.6399999999999997e-09,4.36e-09,6.9400000000000004e-09,2.18e-08,1.63e-11,3.12e-11,2.77e-11,3.88e-11,6.52e-11
1662,cw,1.6e-09,1.7000000000000001e-09,4.51e-09,7.18e-09,2.29e-08,4.150000000000001e-12,1.17e-11,6.679999999999999e-11,2.11e-10,4.48e-12
1663,cw,1.6300000000000002e-09,1.87e-09,4.62e-09,7.73e-09,2.3799999999999998e-08,1.9099999999999999e-10,1.4500000000000002e-10,1.46e-10,2.12e-10,3.6799999999999997e-10
1664,cw,1.5e-09,1.7800000000000003e-09,4.33e-09,7.240000000000001e-09,2.2599999999999997e-08,1.34e-12,5.029999999999999e-12,8.43e-12,4.0700000000000006e-11,5.36e-12
1665,cw,1.4699999999999999e-09,1.6699999999999998e-09,4.07e-09,6.949999999999999e-09,2.04e-08,1.36e-12,4.629999999999999e-13,7.279999999999999e-13,1.21e-12,5.4100000000000006e-12
1666,cw,1.51e-09,1.62e-09,4.120000000000001e-09,6.9e-09,2.08e-08,6.4e-11,7.83e-11,9.559999999999999e-11,8.329999999999999e-11,1.29e-10
1667,cw,1.49e-09,1.6899999999999997e-09,4.120000000000001e-09,6.859999999999999e-09,2.2200000000000004e-08,2.2200000000000002e-12,5.9e-11,7.090000000000001e-11,7.98e-11,1.0399999999999999e-10
1668,cw,1.59e-09,1.7699999999999999e-09,4.4e-09,7.13e-09,2.11e-08,1.3e-10,1.8599999999999998e-10,5.84e-10,2.53e-10,5.29e-10
1669,cw,1.56e-09,1.71e-09,4.21e-09,7.020000000000001e-09,2.08e-08,1.72e-10,5.47e-10,7.870000000000001e-10,9.149999999999999e-10,7.17e-10
1670,cw,1.6899999999999997e-09,1.87e-09,4.51e-09,7.3199999999999995e-09,2.13e-08,3.4099999999999996e-10,3.78e-10,4.65e-10,5.41e-10,1.06e-09
1671,cw,1.54e-09,1.6800000000000002e-09,4.1600000000000005e-09,6.6e-09,2.17e-08,5.9e-11,9.100000000000001e-11,9e-11,1.0500000000000001e-10,1.64e-10
1672,cw,1.6899999999999997e-09,1.7699999999999999e-09,4.42e-09,7.35e-09,2.2999999999999998e-08,2.7799999999999997e-10,3.32e-10,1.8399999999999998e-10,1.9099999999999999e-10,4.2799999999999997e-10
1673,cw,2.57e-09,1.99e-09,4.7100000000000005e-09,7.5e-09,2.3100000000000002e-08,4.6399999999999995e-10,1.11e-10,2.07e-10,7.22e-11,4.94e-11
1674,cw,1.58e-09,1.7800000000000003e-09,4.56e-09,7.859999999999999e-09,2.2200000000000004e-08,3.28e-11,3.3e-11,1.81e-11,7.54e-11,1.73e-10
1675,cw,1.4800000000000003e-09,1.6699999999999998e-09,4.13e-09,7.06e-09,1.99e-08,1.63e-11,4.99e-11,8.659999999999999e-11,1.7e-10,3.84e-11
1676,cw,1.5299999999999999e-09,1.62e-09,4.220000000000001e-09,6.8099999999999994e-09,1.98e-08,1.14e-12,6.580000000000001e-12,6.21e-12,9.449999999999999e-12,4.03e-12
1677,cw,1.56e-09,1.6e-09,4.17e-09,6.920000000000001e-09,2.06e-08,1.19e-12,4.36e-13,6.850000000000001e-13,1.18e-12,3.9300000000000004e-12
1678,cw,1.55e-09,1.6800000000000002e-09,4.13e-09,6.9400000000000004e-09,2.0499999999999998e-08,2.6899999999999996e-12,9.42e-11,2.22e-10,1.08e-10,6.22e-11
1679,cw,1.19e-09,1.49e-09,4.770000000000001e-09,9.99e-09,3.5e-08,5.04e-11,3.6899999999999997e-11,4.28e-11,9.02e-11,3.2000000000000003e-10
1680,cw,1.15e-09,1.51e-09,4.85e-09,1.02e-08,3.47e-08,1.27e-12,1.98e-11,1.63e-11,1.8600000000000002e-11,1.35e-11
1681,cw,1.23e-09,1.7600000000000001e-09,5.27e-09,1.14e-08,3.58e-08,1.26e-10,2.9000000000000003e-10,4.68e-10,6.92e-10,1.13e-09
