,rotation,type_u,type_g,type_r,type_i,type_z
417,cw,3,3,3,3,3
418,cw,3,3,3,3,3
419,cw,3,3,3,3,3
420,cw,3,3,3,3,3
421,cw,3,3,3,3,3
422,cw,3,3,3,3,3
423,cw,3,3,3,3,3
424,cw,3,3,3,3,3
425,cw,3,3,3,3,3
426,cw,3,3,3,3,3
427,cw,3,3,3,3,3
428,cw,3,3,3,3,3
429,cw,3,3,3,3,3
430,cw,3,3,3,3,3
431,cw,3,3,3,3,3
432,cw,3,3,3,3,3
433,cw,3,3,3,3,3
434,cw,3,3,3,3,3
435,cw,3,3,3,3,3
436,cw,3,3,3,3,3
437,cw,3,3,3,3,3
438,cw,3,3,3,3,3
439,cw,3,3,3,3,3
440,cw,3,3,3,3,3
441,cw,3,3,3,3,3
442,cw,3,3,3,3,3
443,cw,3,3,3,3,3
444,cw,3,3,3,3,3
445,cw,3,3,3,3,3
446,cw,3,3,3,3,3
447,cw,3,3,3,3,3
448,cw,3,3,3,3,3
449,cw,3,3,3,3,3
450,cw,3,3,3,3,3
451,cw,3,3,3,3,3
452,cw,3,3,3,3,3
453,cw,3,3,3,3,3
454,cw,3,3,3,3,3
455,cw,3,3,3,3,3
456,cw,3,3,3,3,3
457,cw,3,3,3,3,3
458,cw,3,3,3,3,3
459,cw,3,3,3,3,3
460,cw,3,3,3,3,3
461,cw,3,3,3,3,3
462,cw,3,3,3,3,3
463,cw,3,3,3,3,3
464,cw,3,3,3,3,3
465,cw,3,3,3,3,3
466,cw,3,3,3,3,3
467,cw,3,3,3,3,3
468,cw,3,3,3,3,3
469,cw,3,3,3,3,3
470,cw,3,3,3,3,3
471,cw,3,3,3,3,3
472,cw,3,3,3,3,3
473,cw,3,3,3,3,3
474,cw,3,3,3,3,3
475,cw,3,3,3,3,3
476,cw,3,3,3,3,3
477,cw,3,3,3,3,3
478,cw,3,3,3,3,3
479,cw,3,3,3,3,3
480,cw,3,3,3,3,3
481,cw,3,3,3,3,3
482,cw,3,3,3,3,3
483,cw,3,3,3,3,3
484,cw,3,3,3,3,3
485,cw,3,3,3,3,3
486,cw,3,3,3,3,3
487,cw,3,3,3,3,3
488,cw,3,3,3,3,3
489,cw,3,3,3,3,3
490,cw,3,3,3,3,3
491,cw,3,3,3,3,3
492,cw,3,3,3,3,3
493,cw,3,3,3,3,3
494,cw,3,3,3,3,3
495,cw,3,3,3,3,3
496,cw,3,3,3,3,3
497,cw,3,3,3,3,3
498,cw,3,3,3,3,3
499,cw,3,3,3,3,3
500,cw,3,3,3,3,3
501,cw,3,3,3,3,3
502,cw,3,3,3,3,3
503,cw,3,3,3,3,3
504,cw,3,3,3,3,3
505,cw,3,3,3,3,3
506,cw,3,3,3,3,3
507,cw,3,3,3,3,3
508,cw,3,3,3,3,3
509,cw,3,3,3,3,3
510,cw,3,3,3,3,3
511,cw,3,3,3,3,3
512,cw,3,3,3,3,3
513,cw,3,3,3,3,3
514,cw,3,3,3,3,3
515,cw,3,3,3,3,3
516,cw,3,3,3,3,3
517,cw,3,3,3,3,3
518,cw,3,3,3,3,3
519,cw,3,3,3,3,3
520,cw,3,3,3,3,3
521,cw,3,3,3,3,3
522,cw,3,3,3,3,3
523,cw,3,3,3,3,3
524,cw,3,3,3,3,3
525,cw,3,3,3,3,3
526,cw,3,3,3,3,3
527,cw,3,3,3,3,3
528,cw,3,3,3,3,3
529,cw,3,3,3,3,3
530,cw,3,3,3,3,3
531,cw,3,3,3,3,3
532,cw,3,3,3,3,3
533,cw,3,3,3,3,3
534,cw,3,3,3,3,3
535,cw,3,3,3,3,3
536,cw,3,3,3,3,3
537,cw,3,3,3,3,3
538,cw,3,3,3,3,3
539,cw,3,3,3,3,3
540,cw,3,3,3,3,3
541,cw,3,3,3,3,3
542,cw,3,3,3,3,3
543,cw,3,3,3,3,3
544,cw,3,3,3,3,3
