Date,Run_Number,Num_Epochs_Tot,Train_Loss,Valid_Loss
22:51.5,211,4220,0.050852115,0.084918559
26:23.9,212,4240,0.051004535,0.082198651
29:58.3,213,4260,0.053946875,0.07674219
33:35.4,214,4280,0.050645744,0.0818652
37:11.4,215,4300,0.053122655,0.084348522
40:49.4,216,4320,0.05383439,0.084081338
44:30.4,217,4340,0.052834451,0.086056855
49:13.0,218,4360,0.050021731,0.083771086
52:52.7,219,4380,0.051693378,0.083218816
56:28.6,220,4400,0.052174575,0.084589159
00:12.6,221,4420,0.053362591,0.088866244
03:56.3,222,4440,0.05254942,0.087988385
07:40.3,223,4460,0.051915934,0.09045772
11:39.7,224,4480,0.050892795,0.08621426
15:27.9,225,4500,0.052379457,0.087132722
19:18.4,226,4520,0.052568737,0.090665427
23:03.7,227,4540,0.051675835,0.08208191
26:59.0,228,4560,0.052689439,0.082534675
30:54.3,229,4580,0.053505627,0.083505392
34:48.4,230,4600,0.051725886,0.085416129
38:41.6,231,4620,0.053982251,0.086811593
42:35.7,232,4640,0.053344918,0.076362929
46:33.1,233,4660,0.054036386,0.075953628
50:39.8,234,4680,0.053017574,0.075573464
54:42.1,235,4700,0.053986607,0.071943312
08:03.1,236,4720,0.051438547,0.08002124
12:56.2,237,4740,0.050834792,0.077907884
17:33.9,238,4760,0.05206356,0.077393693
22:21.4,239,4780,0.052674619,0.077441671
27:04.5,240,4800,0.052441114,0.073285591
31:33.5,241,4820,0.056867542,0.074297901
36:12.5,242,4840,0.052036265,0.080535205
40:52.4,243,4860,0.056254211,0.077894859
45:25.5,244,4880,0.053864518,0.081521037
49:47.1,245,4900,0.054615501,0.077133131
54:05.8,246,4920,0.052384469,0.074451942
58:27.3,247,4940,0.053229546,0.073015932
02:43.2,248,4960,0.05280295,0.075009802
06:56.6,249,4980,0.054671853,0.082194876
10:56.1,250,5000,0.055004622,0.082636959
17:50.2,251,5020,0.052968555,0.075649912
21:46.5,252,5040,0.053746535,0.078859305
25:51.7,253,5060,0.05264811,0.077922614
29:49.9,254,5080,0.053044551,0.077675075
33:36.6,255,5100,0.05129307,0.082384873
37:34.5,256,5120,0.053317319,0.074085225
41:32.6,257,5140,0.053494008,0.072927752
45:24.8,258,5160,0.052509793,0.075438728
49:31.5,259,5180,0.052714692,0.072534521
53:24.8,260,5200,0.053239413,0.078094673
57:13.5,261,5220,0.051400275,0.07972177
00:57.0,262,5240,0.050554757,0.081576837
04:49.9,263,5260,0.052248996,0.080337158
08:31.9,264,5280,0.054021409,0.076981781
12:15.2,265,5300,0.050644641,0.075047521
16:05.7,266,5320,0.051765423,0.080289528
19:56.1,267,5340,0.053118984,0.076856374
23:41.0,268,5360,0.052202747,0.076323819
27:11.9,269,5380,0.054018299,0.07970062
30:51.9,270,5400,0.052338612,0.081528966
34:31.1,271,5420,0.052593241,0.075656552
38:02.2,272,5440,0.052232422,0.073471175
41:39.6,273,5460,0.053547384,0.078359362
45:35.7,274,5480,0.054124172,0.076009708
49:19.1,275,5500,0.050988083,0.084614114
53:19.3,276,5520,0.053550437,0.08432976
56:55.1,277,5540,0.053100249,0.079581008
00:40.9,278,5560,0.053916063,0.077722956
04:17.6,279,5580,0.056138106,0.07069086
07:36.9,280,5600,0.055045994,0.079428068
11:15.1,281,5620,0.053897056,0.081578599
14:37.3,282,5640,0.054650075,0.077694473
18:21.8,283,5660,0.053068945,0.071454325
21:48.2,284,5680,0.052008898,0.080095671
25:06.6,285,5700,0.053327623,0.076871921
28:53.5,286,5720,0.052481003,0.076842764
32:26.3,287,5740,0.05340643,0.081151155
36:11.0,288,5760,0.052974123,0.078735823
39:28.2,289,5780,0.05297776,0.082182337
42:57.5,290,5800,0.051567299,0.07663697
46:20.2,291,5820,0.052843167,0.078232303
49:45.8,292,5840,0.05255114,0.077296476
53:18.3,293,5860,0.052124137,0.075768567
56:49.9,294,5880,0.052397666,0.076373899
00:31.9,295,5900,0.05419243,0.078844348
03:46.8,296,5920,0.052848431,0.07254434
07:05.9,297,5940,0.052427528,0.085983577
10:29.6,298,5960,0.051282286,0.083684436
14:05.0,299,5980,0.054163542,0.080460162
17:32.1,300,6000,0.054488589,0.084212483
21:37.1,301,6020,0.055681815,0.07780306
24:54.1,302,6040,0.051999733,0.082031702
28:31.6,303,6060,0.053246832,0.077369761
32:10.3,304,6080,0.055709022,0.077753043
35:46.1,305,6100,0.05588503,0.083085428
39:04.2,306,6120,0.053325352,0.079096054
42:33.8,307,6140,0.053404459,0.082638751
46:09.8,308,6160,0.053729906,0.079844745
49:46.5,309,6180,0.053363929,0.075311759
53:11.4,310,6200,0.05368187,0.077270425
56:38.7,311,6220,0.054969138,0.079159489
00:12.4,312,6240,0.054182559,0.078660128
03:26.6,313,6260,0.054615195,0.079537264
06:43.0,314,6280,0.053893341,0.075795397
10:10.5,315,6300,0.052834768,0.075788692
13:50.5,316,6320,0.054161889,0.076492592
17:21.7,317,6340,0.055502363,0.071993573
20:42.9,318,6360,0.053481754,0.083670204
24:20.4,319,6380,0.054477845,0.078805608
27:40.2,320,6400,0.054122022,0.080415661
31:01.1,321,6420,0.054157797,0.08129204
34:30.3,322,6440,0.05644531,0.076342947
37:56.5,323,6460,0.054320962,0.072082066
41:20.2,324,6480,0.051531668,0.08216017
44:45.7,325,6500,0.054552779,0.081604587
48:14.6,326,6520,0.0517908,0.073985525
51:37.2,327,6540,0.057192378,0.073688766
54:49.8,328,6560,0.053073083,0.078586817
58:05.9,329,6580,0.05208075,0.070897294
01:34.4,330,6600,0.052672608,0.071578348
04:56.9,331,6620,0.053018399,0.084042637
08:18.1,332,6640,0.053524052,0.07288265
11:48.2,333,6660,0.054721465,0.0765691
15:07.1,334,6680,0.05483656,0.078020731
18:54.4,335,6700,0.054645892,0.085800667
22:23.8,336,6720,0.055140187,0.081660956
25:42.7,337,6740,0.053489494,0.079649302
28:59.6,338,6760,0.054281806,0.081548602
32:14.8,339,6780,0.057042724,0.08109369
35:51.1,340,6800,0.056325172,0.078270645
39:10.2,341,6820,0.053897328,0.078308741
42:28.4,342,6840,0.054416576,0.073428061
45:59.9,343,6860,0.054209117,0.078876776
49:14.3,344,6880,0.055885639,0.073171644
52:46.4,345,6900,0.055686432,0.076107363
56:08.4,346,6920,0.054191311,0.082555562
59:24.2,347,6940,0.054456976,0.076823009
02:50.1,348,6960,0.051558311,0.077693268
06:14.8,349,6980,0.053622382,0.078795329
09:43.6,350,7000,0.053295107,0.075167933
14:12.5,351,7020,0.053204184,0.070970531
17:44.4,352,7040,0.05483706,0.084853418
21:10.0,353,7060,0.054792909,0.073906808
24:45.6,354,7080,0.053957669,0.072971887
28:17.3,355,7100,0.056083465,0.072396826
31:43.5,356,7120,0.055807648,0.076469736
35:07.0,357,7140,0.055555269,0.076990614
38:28.9,358,7160,0.054958276,0.075791109
42:00.1,359,7180,0.054657795,0.079486701
45:31.9,360,7200,0.053124732,0.077745973
48:59.9,361,7220,0.053488363,0.077437328
52:27.7,362,7240,0.056609197,0.072742374
55:48.8,363,7260,0.052465774,0.077124785
59:11.2,364,7280,0.053578059,0.072396685
02:38.2,365,7300,0.054883277,0.07375221
05:58.4,366,7320,0.054625476,0.070026592
09:23.9,367,7340,0.056640019,0.075333014
12:41.5,368,7360,0.052296605,0.070528709
16:05.8,369,7380,0.050538308,0.075987494
19:32.2,370,7400,0.055848674,0.075018404
22:53.8,371,7420,0.054988549,0.076112529
26:22.9,372,7440,0.055271614,0.069532104
29:58.0,373,7460,0.054771528,0.078942001
33:23.6,374,7480,0.052854954,0.07527307
36:57.9,375,7500,0.055921953,0.073138837
41:42.0,376,7520,0.054153857,0.068380163
45:11.6,377,7540,0.056403624,0.076782979
49:01.6,378,7560,0.052864731,0.072400022
52:41.1,379,7580,0.054121413,0.075014815
56:16.4,380,7600,0.054191103,0.072749242
59:54.8,381,7620,0.056427983,0.080744129
03:24.8,382,7640,0.053982274,0.075703685
07:03.8,383,7660,0.055209196,0.074645082
10:35.0,384,7680,0.054387716,0.075462326
14:18.7,385,7700,0.056868846,0.077858869
18:02.8,386,7720,0.055584687,0.073223839
21:42.8,387,7740,0.054038219,0.082716666
25:34.2,388,7760,0.055178684,0.071114715
29:11.3,389,7780,0.054192851,0.075208838
32:50.1,390,7800,0.053329303,0.076183451
36:39.5,391,7820,0.054114506,0.067894277
40:26.3,392,7840,0.05617298,0.075094531
44:22.7,393,7860,0.052916198,0.07748563
47:57.8,394,7880,0.054608065,0.079462335
51:41.0,395,7900,0.054720964,0.073945488
55:22.2,396,7920,0.054103248,0.074555617
59:20.4,397,7940,0.052191297,0.072306299
03:04.3,398,7960,0.054063401,0.068368591
06:51.4,399,7980,0.055886118,0.07061478
10:46.4,400,8000,0.053987385,0.070482435
15:30.3,401,8020,0.053182317,0.073245399
19:12.8,402,8040,0.053058028,0.07375358
23:08.5,403,8060,0.05487472,0.07495985
26:52.0,404,8080,0.055281061,0.071343442
30:52.2,405,8100,0.054318526,0.072919176
34:42.6,406,8120,0.051635283,0.071668193
38:26.6,407,8140,0.051284614,0.071251233
42:20.7,408,8160,0.055165896,0.072613111
46:07.5,409,8180,0.052718644,0.073788808
50:15.4,410,8200,0.053672755,0.072808371
54:06.4,411,8220,0.054841196,0.07985607
58:07.3,412,8240,0.05529715,0.07451585
01:52.8,413,8260,0.05481629,0.074538756
05:53.5,414,8280,0.053818776,0.079071685
09:52.0,415,8300,0.053024289,0.082101043
13:47.7,416,8320,0.054625736,0.072224878
17:50.9,417,8340,0.055689003,0.072454872
21:44.7,418,8360,0.053177182,0.070920441
25:53.3,419,8380,0.052851186,0.077773547
29:48.6,420,8400,0.054305575,0.07420739
33:44.7,421,8420,0.054202816,0.074855139
37:46.2,422,8440,0.054872487,0.070906357
41:51.4,423,8460,0.054003869,0.080843264
45:56.9,424,8480,0.054667013,0.078459855
50:09.5,425,8500,0.053394597,0.068024597
58:19.1,426,8520,0.054831599,0.076197307
02:15.1,427,8540,0.056667439,0.074168301
06:22.7,428,8560,0.055013379,0.080143417
10:30.2,429,8580,0.056314528,0.07307458
14:26.9,430,8600,0.056877333,0.078273342
18:32.8,431,8620,0.057879407,0.07404302
22:49.0,432,8640,0.056017423,0.082562241
27:03.2,433,8660,0.05565092,0.07928093
31:02.7,434,8680,0.054864688,0.078168309
35:03.5,435,8700,0.054261877,0.07875352
39:08.2,436,8720,0.054611578,0.075610581
43:25.9,437,8740,0.055324044,0.077278985
47:45.6,438,8760,0.054573621,0.079368495
51:59.0,439,8780,0.052605765,0.078141373
56:11.2,440,8800,0.055069071,0.074876745
00:10.9,441,8820,0.056852582,0.074967759
04:14.5,442,8840,0.055880406,0.07181411
08:18.8,443,8860,0.054307694,0.075214229
12:31.4,444,8880,0.056502698,0.076571184
16:30.4,445,8900,0.055255612,0.075240952
20:39.8,446,8920,0.055702531,0.082453614
24:56.1,447,8940,0.05763938,0.088769671
29:15.1,448,8960,0.054045679,0.084569202
33:38.8,449,8980,0.054396508,0.084939637
37:48.5,450,9000,0.05471788,0.073219477
42:35.3,451,9020,0.056117632,0.07596662
46:55.9,452,9040,0.056297923,0.076666243
51:18.7,453,9060,0.055660192,0.080586939
55:48.4,454,9080,0.055078232,0.081703317
00:06.2,455,9100,0.05539609,0.076897537
04:27.5,456,9120,0.056624324,0.084735406
08:44.9,457,9140,0.055777871,0.076150434
13:11.4,458,9160,0.056053838,0.08091271
17:33.4,459,9180,0.055639338,0.081065605
21:58.9,460,9200,0.056743405,0.082449193
26:13.8,461,9220,0.055491363,0.082044007
11:14.7,462,9240,0.054801795,0.083341154
13:52.2,463,9260,0.054193984,0.082567544
16:45.4,464,9280,0.053456971,0.083875505
19:25.9,465,9300,0.057993464,0.08862137
22:00.0,466,9320,0.057492302,0.085443593
24:46.4,467,9340,0.05627893,0.082034761
27:20.4,468,9360,0.053900178,0.081915499
29:57.8,469,9380,0.055128545,0.079481427
32:25.7,470,9400,0.054983401,0.078273304
34:57.6,471,9420,0.056041443,0.075832422
37:19.5,472,9440,0.053749579,0.083887599
39:41.9,473,9460,0.055463851,0.077587069
41:57.4,474,9480,0.052116418,0.080378939
44:14.1,475,9500,0.05584177,0.076114043
46:44.0,476,9520,0.056446598,0.085150827
49:13.8,477,9540,0.054045938,0.082282042
51:29.1,478,9560,0.053182359,0.079896128
53:55.3,479,9580,0.055328478,0.077307033
56:12.5,480,9600,0.055813998,0.082953238
58:47.4,481,9620,0.053860064,0.079767216
01:17.7,482,9640,0.057402996,0.084732406
03:35.3,483,9660,0.055896533,0.081757278
05:52.1,484,9680,0.055423076,0.076471069
08:13.3,485,9700,0.055858998,0.078381149
10:32.1,486,9720,0.054616965,0.083957458
12:54.1,487,9740,0.054520774,0.074415666
15:07.9,488,9760,0.054906034,0.081456397
17:21.9,489,9780,0.057603569,0.074827191
19:49.3,490,9800,0.057239,0.078550524
22:00.1,491,9820,0.057151817,0.080688217
24:17.0,492,9840,0.054407188,0.082333432
26:32.1,493,9860,0.056585825,0.074353919
28:48.6,494,9880,0.056308074,0.086816083
31:01.6,495,9900,0.056105017,0.078738681
33:24.7,496,9920,0.05343373,0.080213155
35:40.2,497,9940,0.058222031,0.076027005
37:55.1,498,9960,0.054983102,0.078549177
40:10.7,499,9980,0.057659602,0.077087942
41:46.1,500,10000,0.059758666,0.072154131
44:04.8,501,10020,0.054488395,0.08265404
46:14.0,502,10040,0.055991876,0.081131918
48:34.5,503,10060,0.054384798,0.078710397
50:50.3,504,10080,0.05478187,0.078608109
53:08.0,505,10100,0.056100735,0.079383115
55:24.3,506,10120,0.055499976,0.083280985
57:39.4,507,10140,0.05615445,0.069860609
59:56.2,508,10160,0.055537021,0.073863948
02:11.4,509,10180,0.057484246,0.084151781
04:29.7,510,10200,0.054835848,0.079607173
06:51.4,511,10220,0.056163088,0.083358303
09:08.8,512,10240,0.055342433,0.081692662
11:36.5,513,10260,0.056964957,0.078124408
13:52.8,514,10280,0.056187352,0.078834597
16:17.5,515,10300,0.053239146,0.077282174
18:43.6,516,10320,0.057177607,0.07853251
21:06.3,517,10340,0.056371658,0.075321826
23:24.4,518,10360,0.055778421,0.080916797
25:50.9,519,10380,0.055230667,0.082880923
28:16.0,520,10400,0.057653841,0.084990014
30:35.5,521,10420,0.055563377,0.082103602
33:02.7,522,10440,0.057842216,0.08491599
35:24.5,523,10460,0.057191497,0.076483122
37:47.6,524,10480,0.055615453,0.076350769
40:18.3,525,10500,0.056796041,0.074436623
42:43.2,526,10520,0.055192376,0.086541092
45:10.8,527,10540,0.057681205,0.081329322
47:33.2,528,10560,0.057625354,0.078763694
50:03.8,529,10580,0.055318137,0.075225576
52:26.2,530,10600,0.056040427,0.079162673
54:59.6,531,10620,0.055605546,0.081497304
57:29.3,532,10640,0.05736885,0.080987868
00:00.9,533,10660,0.054811277,0.081910408
02:23.6,534,10680,0.056966894,0.082660272
04:51.2,535,10700,0.056100444,0.080967767
07:24.5,536,10720,0.055132511,0.08127253
09:56.2,537,10740,0.056943896,0.080461715
12:22.5,538,10760,0.056364081,0.080550199
14:50.4,539,10780,0.057539474,0.074808775
17:17.3,540,10800,0.057893107,0.085700729
19:48.5,541,10820,0.0601121,0.072551895
22:17.1,542,10840,0.056369138,0.08014289
24:52.8,543,10860,0.057139979,0.08582633
27:19.0,544,10880,0.059506051,0.077719957
29:49.0,545,10900,0.056777034,0.083465345
32:24.7,546,10920,0.054900863,0.083423094
34:54.0,547,10940,0.057833072,0.090270318
37:35.2,548,10960,0.055601304,0.084327514
40:09.1,549,10980,0.056667853,0.079708856
42:40.7,550,11000,0.058047942,0.085909597
45:16.0,551,11020,0.05524201,0.086121392
