,rotation,u,g,r,i,z,err_u,err_g,err_r,err_i,err_z,dered_u,dered_g,dered_r,dered_i,dered_z
6579,cw,18.23378,16.46941,15.93776,15.633379999999999,15.45142,0.08036288,0.005001592,0.004488542,0.005848681999999999,0.01552097,18.0817,16.35751,15.8566,15.57184,15.407789999999999
6580,cw,17.268539999999998,15.997720000000001,15.50707,15.177810000000001,15.002379999999999,0.01748967,0.0034523379999999997,0.0031828340000000003,0.003730462,0.008578136,17.11726,15.886420000000001,15.42635,15.1166,14.958979999999999
6581,cw,18.68095,17.1639,16.381429999999998,15.95116,15.661610000000001,0.03633631,0.0055931340000000005,0.004318044,0.004772361,0.009877162,18.52233,17.04719,16.296789999999998,15.886970000000002,15.6161
6582,cw,18.69794,17.30322,16.60945,16.21967,15.94855,0.04716448,0.007300030999999999,0.006508799,0.00785085,0.01642118,18.392670000000003,17.07861,16.44654,16.09615,15.860970000000002
6583,cw,17.66639,16.3739,15.90526,15.51312,15.26511,0.02129467,0.003931682,0.0036908440000000004,0.004243836,0.009571391,17.43317,16.2023,15.7808,15.41875,15.1982
6584,cw,18.572020000000002,16.77443,15.87631,15.46575,15.118360000000001,0.03897921,0.004945669000000001,0.003619078,0.004003505,0.007777053000000001,18.35141,16.61211,15.758579999999998,15.376479999999999,15.055060000000001
6585,cw,18.84852,17.35623,16.71261,16.31159,16.177020000000002,0.05019594,0.006757405,0.00559173,0.006772079,0.03561718,18.508210000000002,17.105829999999997,16.531010000000002,16.17388,16.07939
6586,cw,19.96205,18.10163,16.97867,16.51737,16.11676,0.09595776,0.009761605999999999,0.005893542,0.006490018,0.01316802,19.61072,17.84313,16.791179999999997,16.3752,16.01596
6587,cw,17.699370000000002,16.44285,15.898639999999999,15.563889999999999,15.373029999999998,0.02673512,0.004078551,0.0037472020000000003,0.004308608,0.01103689,17.54565,16.32975,15.81661,15.50169,15.32893
6588,cw,17.46349,16.28345,15.62147,15.23124,14.962179999999998,0.02097148,0.003819732,0.0032912690000000003,0.0031707429999999997,0.007068011999999999,17.37601,16.219089999999998,15.57479,15.19585,14.93709
6589,cw,18.43742,17.03497,16.4654,16.15331,15.913839999999999,0.05392358,0.006453828000000001,0.006376463000000001,0.0068931980000000006,0.01770207,18.3143,16.94438,16.39969,16.10349,15.87851
6590,cw,17.22795,15.955910000000001,15.4403,15.1328,14.95444,0.02125769,0.0033793079999999997,0.003100193,0.0032049929999999997,0.00823176,17.12947,15.88345,15.38775,15.09295,14.926179999999999
6591,cw,17.05712,15.78156,15.251970000000002,14.950339999999999,14.717220000000001,0.01331085,0.0028906929999999997,0.002730823,0.002873583,0.006496825,16.89232,15.66029,15.16402,14.88365,14.669939999999999
6592,cw,18.894070000000003,17.33835,16.58051,16.18144,15.879560000000001,0.06032667,0.0067042280000000004,0.005398994,0.00577695,0.01656321,18.77649,17.251829999999998,16.51776,16.133860000000002,15.84583
