,rotation,fiberMag_u,fiberMag_g,fiberMag_r,fiberMag_i,fiberMag_z,fiberMagErr_u,fiberMagErr_g,fiberMagErr_r,fiberMagErr_i,fiberMagErr_z
6562,cw,18.910120000000003,17.21823,16.3582,15.94036,15.603589999999999,0.01655768,0.00311263,0.0021839470000000003,0.001762476,0.0044732470000000005
6563,cw,20.12332,18.79692,18.015829999999998,17.54126,17.25488,0.03769446,0.0071627309999999994,0.005304466999999999,0.004740425,0.0110738
6564,cw,20.53322,19.062,18.144029999999997,17.67003,17.33545,0.05266234,0.007354294,0.00575737,0.005521811999999999,0.01052887
6565,cw,20.998,18.99465,18.01501,17.57218,17.21527,0.08022733,0.006837205,0.004469004,0.005128522,0.01232462
6566,cw,20.70401,19.20681,18.45392,18.02236,17.75316,0.06290084,0.00794997,0.006853279,0.005715243,0.01842497
6567,cw,19.88854,17.876089999999998,16.91394,16.47757,16.12838,0.03516766,0.0039017709999999996,0.002560666,0.002347395,0.0060779
6568,cw,20.717229999999997,19.26821,18.44518,18.01258,17.728820000000002,0.07432063,0.008297346,0.006161375,0.006907983,0.0177293
6569,cw,19.85595,17.96856,17.077720000000003,16.624679999999998,16.277260000000002,0.03782748,0.1485835,0.1110565,0.0280406,0.1423933
6570,cw,21.656129999999997,19.81482,19.0139,18.583779999999997,18.31188,0.16177249999999999,0.0132715,0.009092671,0.009144031,0.03357603
6571,cw,20.65332,18.91941,17.969170000000002,17.554489999999998,17.22766,0.07032857,0.006737578,0.008331567,0.005153649000000001,0.01420965
6572,cw,20.340989999999998,18.76566,17.89565,17.44359,17.11426,0.05042391,0.0071869709999999995,0.005753751999999999,0.004517136,0.01310617
6573,cw,20.48787,19.01137,18.332929999999998,17.960739999999998,17.69349,0.06153855,0.007712753,0.00591427,0.006869065,0.02049431
6574,cw,21.167379999999998,19.41474,18.53171,18.04851,17.74084,0.1012315,0.009074446,0.006740220999999999,0.0061028390000000005,0.02117084
6575,cw,20.514110000000002,19.05835,18.2883,17.8761,17.56339,0.06336418,0.03037335,0.02895703,0.02468945,0.01845054
6576,cw,20.45947,19.04397,18.3079,17.82903,17.58804,0.06104589,0.007068093,0.005591628,0.006067608,0.0190167
6577,cw,20.37144,18.9348,18.164,17.68084,17.43638,0.04806764,0.0073720209999999994,0.00508609,0.006008426999999999,0.01363018
6578,cw,20.93147,19.44872,18.59808,18.165429999999997,17.884220000000003,0.07217477,0.01059385,0.00739505,0.008155997,0.01846669
6579,cw,21.35452,19.90614,19.230729999999998,18.88103,18.64807,0.1018715,0.01352881,0.01055331,0.01403089,0.0341847
6580,cw,20.4675,18.89827,18.182270000000003,17.80105,17.57837,0.04627979,0.0077242840000000005,0.007065778000000001,0.009076876999999999,0.01559782
6581,cw,20.54691,19.04039,18.220660000000002,17.7741,17.49306,0.044040699999999995,0.00830281,0.005898186,0.0062632619999999995,0.0138285
6582,cw,21.32351,19.99223,19.19379,18.7706,18.50069,0.09766754,0.01515475,0.01101827,0.01270254,0.0305835
6583,cw,20.346529999999998,19.03015,18.41515,18.08154,17.84982,0.04326735,0.02908315,0.0367919,0.03503985,0.04104746
6584,cw,20.71933,18.89661,17.96515,17.53343,17.21235,0.05356807,0.03869685,0.03168728,0.02045888,0.01040315
6585,cw,21.16875,19.894370000000002,19.09842,18.647560000000002,18.32788,0.08576471,0.01368693,0.009923462,0.01172548,0.02591112
6586,cw,21.63809,19.832720000000002,18.731820000000003,18.2482,17.85683,0.12571400000000002,0.01433025,0.007018928000000001,0.008766026,0.01817199
6587,cw,20.76233,19.4017,18.69104,18.29524,18.033170000000002,0.07499588,0.01073637,0.008436413,0.008586728,0.02257803
6588,cw,19.26434,18.20437,17.58051,17.15138,16.903760000000002,0.026290800000000003,0.005262792,0.004295159000000001,0.003159789,0.009503203
6589,cw,21.21947,19.78022,19.044620000000002,18.67408,18.46057,0.11529860000000001,0.01257678,0.009447069,0.009252146,0.03051707
6590,cw,20.24997,18.82392,18.10602,17.76957,17.52316,0.05450605,0.007595981,0.005208469,0.004887465,0.01443759
6591,cw,19.68884,18.29055,17.57945,17.188779999999998,16.88306,0.02925419,0.006431566999999999,0.004577305,0.00440446,0.01066506
6592,cw,21.58919,19.93197,18.94183,18.47789,18.13317,0.1345274,0.0148185,0.00867293,0.00980873,0.02627539
6593,cw,20.58651,19.298379999999998,18.68765,18.356370000000002,18.14045,0.06111787,0.01126745,0.008582666999999999,0.008467303,0.02573062
6594,cw,21.649179999999998,20.048070000000003,19.05394,18.64392,18.31486,0.144682,0.0150019,0.009396654,0.0096345,0.02523906
6595,cw,20.926379999999998,19.52029,18.748720000000002,18.34822,18.02672,0.07875326,0.01064775,0.008394865999999999,0.008640567,0.02303148
