,rotation,nProf_u,nProf_g,nProf_r,nProf_i,nProf_z
619,cw,11,11,11,11,11
620,cw,11,11,11,11,11
621,cw,11,11,11,11,11
622,cw,12,12,12,12,12
623,cw,12,12,12,12,12
624,cw,11,11,11,11,11
625,cw,10,10,10,10,11
626,cw,10,10,10,10,10
627,cw,10,10,10,10,10
628,cw,11,10,10,10,10
629,cw,10,11,10,11,10
630,cw,11,11,11,11,11
631,cw,10,10,10,10,10
632,cw,11,11,11,11,11
633,cw,11,11,11,11,11
634,cw,11,11,11,11,11
635,cw,11,11,11,11,11
636,cw,11,10,10,10,10
637,cw,12,12,12,12,12
638,cw,10,11,10,10,10
639,cw,9,9,9,9,9
640,cw,10,10,10,10,10
641,cw,12,12,12,12,12
642,cw,12,12,12,12,12
643,cw,11,11,11,11,11
644,cw,11,11,11,11,11
645,cw,10,10,10,10,11
646,cw,12,12,12,12,12
647,cw,13,13,13,13,13
648,cw,10,10,10,10,10
649,cw,10,10,10,10,10
650,cw,10,10,10,10,10
651,cw,10,10,10,10,10
652,cw,9,10,9,10,10
653,cw,9,9,9,9,9
654,cw,11,11,11,11,11
655,cw,10,10,10,10,10
656,cw,10,10,10,10,10
657,cw,10,10,10,10,10
658,cw,11,11,11,11,11
659,cw,10,10,10,10,10
660,cw,9,10,9,9,9
661,cw,11,11,11,11,11
662,cw,12,12,12,12,12
663,cw,10,10,10,10,11
664,cw,11,11,11,11,11
665,cw,10,10,10,10,10
666,cw,11,11,11,11,11
667,cw,10,11,10,10,11
668,cw,10,10,10,10,10
669,cw,10,10,10,10,10
670,cw,11,11,11,11,11
671,cw,10,10,10,10,10
672,cw,10,10,10,10,10
673,cw,10,10,10,11,10
674,cw,10,10,10,10,10
675,cw,11,11,11,11,11
676,cw,11,11,10,11,10
677,cw,11,11,11,11,11
678,cw,10,10,10,10,10
679,cw,11,10,10,10,10
680,cw,10,10,10,10,10
681,cw,10,11,10,10,10
682,cw,11,10,10,11,10
683,cw,10,10,10,10,10
684,cw,10,10,10,10,10
685,cw,11,11,11,11,11
686,cw,10,10,10,10,11
687,cw,11,11,11,11,11
688,cw,10,10,10,10,10
689,cw,11,11,10,10,10
690,cw,11,11,11,11,11
691,cw,10,10,10,11,10
692,cw,11,11,11,11,11
693,cw,11,12,11,11,11
694,cw,11,9,9,9,9
695,cw,10,10,10,10,10
696,cw,10,10,10,10,10
697,cw,10,11,10,10,10
698,cw,11,11,11,11,11
699,cw,10,10,10,10,10
700,cw,11,11,11,11,11
701,cw,10,10,10,10,10
702,cw,11,11,11,11,11
703,cw,10,10,10,10,10
704,cw,10,10,10,10,10
705,cw,10,10,10,10,10
706,cw,11,10,10,11,10
707,cw,12,12,12,12,12
708,cw,10,10,10,10,10
709,cw,10,10,10,10,10
710,cw,10,10,10,10,10
711,cw,10,10,10,11,10
712,cw,11,11,11,11,11
713,cw,10,11,10,10,10
714,cw,11,11,11,11,11
715,cw,11,11,11,11,11
716,cw,11,11,11,11,11
717,cw,11,11,11,12,11
718,cw,10,10,10,10,10
