,rotation,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z
36,cw,0.143872,0.1058597,0.07677826,0.05821862,0.04127773
37,cw,0.23432809999999998,0.1724164,0.12505070000000001,0.09482218,0.06723011
38,cw,0.2969323,0.21848,0.1584599,0.12015539999999998,0.08519165
39,cw,0.2795759,0.20570929999999998,0.14919749999999998,0.113132,0.08021198
40,cw,0.07648733,0.05627865,0.04081797,0.03095103,0.02194467
41,cw,0.1312875,0.09660007,0.07006243,0.05312622,0.03766715
42,cw,0.2142871,0.1576704,0.1143557,0.08671248,0.06148023
43,cw,0.1829261,0.1345953,0.09761973,0.07402209,0.05248258
44,cw,0.163746,0.1204828,0.08738416,0.06626076,0.04697971
45,cw,0.1240713,0.0912905,0.06621148,0.05020617,0.035596800000000005
46,cw,0.1514346,0.1114242,0.08081410000000001,0.06127889,0.04344749
47,cw,0.17845940000000002,0.13130870000000003,0.09523604,0.0722146,0.05120105
48,cw,0.19975710000000002,0.14697939999999998,0.10660170000000001,0.08083286,0.05731151
49,cw,0.163287,0.120145,0.08713917,0.06607499,0.04684799
50,cw,0.1805506,0.1328474,0.09635203,0.07306083,0.05180103
51,cw,0.20309979999999997,0.14943889999999999,0.1083855,0.08218548,0.05827053
52,cw,0.2081241,0.1531358,0.11106680000000001,0.08421861,0.05971205
53,cw,0.14734270000000002,0.10841340000000001,0.07863041,0.05962306,0.04227349
54,cw,0.1244123,0.09154135,0.06639343,0.05034412,0.03569461
55,cw,0.1120761,0.0824645,0.05981014,0.04535221,0.03215529
56,cw,0.10936389999999999,0.08046895,0.05836279,0.04425474,0.03137716
57,cw,0.1559649,0.11475739999999998,0.08323168,0.06311206,0.04474724
58,cw,0.1533995,0.11286989999999998,0.08186267,0.06207398,0.04401123
59,cw,0.1224021,0.09006231,0.0653207,0.04953071,0.03511789
60,cw,0.14958229999999997,0.1100613,0.07982560000000001,0.06052934,0.04291606
61,cw,0.13023189999999998,0.09582336,0.06949909,0.05269906,0.03736429
62,cw,0.1659756,0.12212329999999999,0.08857401,0.06716298,0.04761939
